Department,Extracurricular_Activities,Internet_Access_at_Home,Midterm_Score,Assignments_Avg,Projects_Score,Quizzes_Avg,Attendance (%),Phone_Screen_Time (hrs/day),Sleep_Hours_per_Night,Study_Hours_per_Week,Overall_Percentage,Grade
IT,Yes,Yes,30,56,35,37,53,3.9039357886687616,6.13863826699634,5.504873077108322,42.2,F
Mechanical,No,Yes,90,91,90,99,99,4.468164724226872,5.545395639393262,16.253110810493993,93.8,A+
Civil,Yes,Yes,97,99,90,97,66,6.165086629930711,7.336578388002703,23.51190329883798,89.8,A+
Civil,Yes,No,43,56,40,58,36,7.8277893432365815,7.980728482499755,6.889896879040032,46.6,F
Civil,No,Yes,41,46,30,51,47,1.4541154648457506,4.76916689292432,6.713149689924704,43.0,F
Civil,Yes,No,80,86,83,88,62,5.327995147096039,7.125848355018837,22.58193069331129,79.8,A
EEE,No,No,68,66,65,64,74,3.8118339799313006,7.196293677944784,18.06743161595925,67.4,C
Civil,No,No,61,60,64,67,69,1.0411569853971565,5.552385694804078,11.940312574033339,64.2,C
EEE,Yes,Yes,34,36,34,44,37,6.70910886361038,6.509782439267768,5.006311362264053,37.0,F
Civil,No,Yes,70,73,72,75,67,2.904018016116928,6.891773697557788,10.154926981380056,71.4,B
Civil,Yes,No,77,74,71,71,94,1.447064613387167,4.126480152949856,11.462514192489849,77.4,B
IT,No,No,80,88,88,87,67,3.6582606604352224,7.205783104891815,14.802339422614317,82.0,A
IT,No,Yes,62,68,62,62,77,7.840690955003143,7.453772534041334,13.07608961546506,66.2,C
Civil,Yes,No,94,91,94,92,82,3.3678417373264384,5.234794973492781,28.675899693468075,90.6,A+
Civil,No,Yes,70,75,77,70,88,1.990648417149721,7.529880779772542,19.55988771021258,76.0,B
IT,No,No,80,86,85,81,91,5.580425217570004,7.49007980731745,11.103689012672682,84.6,A
EEE,Yes,Yes,96,95,98,93,60,1.5395460836602248,5.3615203706667,26.65966285628355,88.4,A+
IT,No,Yes,80,80,83,85,60,5.305488278102886,7.707630248583456,29.05146247353379,77.6,A
Mechanical,No,No,85,80,86,88,64,3.4151178794719628,4.2189308276999435,10.106052659210722,80.6,A
Mechanical,Yes,No,84,86,82,85,96,1.627565618649753,5.349436313429118,7.242522975371145,86.6,A
Civil,No,No,61,66,65,61,75,6.171792061458256,4.846114503453655,14.835887235921506,65.6,C
EEE,No,No,70,76,71,71,99,5.1716356555483,4.125446275218353,9.256728428214856,77.4,B
IT,Yes,Yes,37,39,38,57,37,5.939224789550391,5.430708365223097,23.790769839181685,41.6,F
Civil,No,Yes,85,88,87,88,74,3.13991495067342,6.098002296875906,21.296702341190148,84.4,A
Mechanical,Yes,Yes,90,94,96,97,85,3.743015612316182,7.582699110475115,10.107909584974257,92.4,A+
EEE,No,Yes,72,71,74,72,99,4.7239182278954726,7.236138200961367,24.518318250716742,77.6,B
Mechanical,Yes,Yes,77,78,76,74,94,5.038771173278597,4.608698407527672,9.416075746761738,79.8,B
Civil,No,Yes,94,97,96,97,62,7.342609423368824,4.048627085909548,21.850497976469818,89.2,A+
IT,Yes,No,52,34,47,32,39,3.1189739838698984,5.944180297932917,15.550589149242178,40.8,F
Mechanical,No,No,48,43,38,32,65,4.17960340395041,7.552776903392637,22.36199354883482,45.2,F
Civil,No,No,72,74,77,71,80,7.116752748135774,4.479299034837069,16.277232186670787,74.8,B
Civil,No,No,77,74,77,77,85,4.202981933717801,5.073128782157951,26.05060545162377,78.0,B
Civil,Yes,Yes,83,87,88,82,97,5.31499724160309,5.829772223479553,14.92369932335732,87.4,A
Civil,No,No,97,97,98,97,61,6.070410844306778,6.983013516304505,18.948186128767517,90.0,A+
IT,Yes,No,66,60,68,63,65,3.5153463957108175,4.22969391760898,20.991549601163523,64.4,C
EEE,Yes,No,84,84,86,83,88,3.4259113187158334,5.630863082660901,8.139139465931285,85.0,A
Mechanical,No,Yes,71,70,73,78,71,7.225231319498237,6.0775907411338705,19.125813124398746,72.6,B
IT,Yes,No,72,75,70,75,87,3.4880567650717196,5.006052158705604,22.36679323992394,75.8,B
EEE,Yes,No,96,90,94,96,91,2.7386338225886013,4.857625931972658,11.770158200924314,93.4,A+
Civil,No,No,50,48,37,34,55,6.142581484971448,7.711084393627276,20.724709680608804,44.8,F
IT,Yes,No,54,49,58,49,46,7.741285479149359,7.2406149411067915,5.35216030407175,51.2,F
Mechanical,No,Yes,87,81,83,86,71,3.8757147689719944,4.87079919542893,29.150536478255212,81.6,A
Mechanical,Yes,No,84,86,82,84,90,3.299907049200589,4.217864189467351,9.561451016312251,85.2,A
IT,Yes,Yes,78,71,72,70,98,5.6294509791389675,5.5679921755565935,14.217573100099033,77.8,B
EEE,No,Yes,67,67,67,62,65,2.2228974115664695,6.061989903907962,11.537322593190485,65.6,C
EEE,Yes,No,36,58,41,33,53,2.397617806542848,4.162799181015231,17.205249456912295,44.2,F
EEE,Yes,Yes,47,51,35,36,59,6.249135182185718,7.7855273899522155,14.445457096122626,45.6,F
EEE,No,No,39,36,34,42,51,1.6861640840805232,4.509005919135824,6.541655182685103,40.4,F
EEE,No,No,66,67,62,61,97,7.200331858788335,5.693153953679346,24.348126420138716,70.6,C
EEE,No,Yes,63,66,68,64,79,3.3486938394492887,5.349571324995066,8.070999471427605,68.0,C
Mechanical,Yes,No,99,99,91,95,97,6.875369446492016,4.015279690634332,11.170596730047556,96.2,A+
IT,Yes,No,53,31,47,41,64,3.9882068699641615,5.547080939526728,24.139751594776506,47.2,F
EEE,No,Yes,75,70,74,76,79,3.7557732019342898,4.7674927376180065,6.5304164535893,74.8,B
IT,No,No,63,62,60,61,94,2.789494205161426,5.188080915243265,24.2134524252854,68.0,C
Civil,Yes,No,88,86,86,85,62,2.446067113552466,5.253065906322441,20.901710508805643,81.4,A
IT,Yes,Yes,82,87,83,87,75,2.630154023062705,4.627041714606557,22.085735378931762,82.8,A
EEE,Yes,Yes,62,61,61,63,93,6.203094206148854,4.867772901629344,6.529293879148594,68.0,C
EEE,No,No,93,90,94,99,64,1.5642105962998727,6.911757227895061,17.411528808882494,88.0,A+
Civil,Yes,No,94,95,95,97,84,2.5484660927372156,7.9506720319865885,28.601483492165332,93.0,A+
IT,Yes,No,42,57,49,52,59,2.577358380180296,7.8971502240504,14.758497850298852,51.8,F
IT,No,Yes,75,72,72,72,62,2.8947222417570257,4.116682674296298,20.127540555928768,70.6,B
Mechanical,Yes,No,86,83,87,83,97,4.48833119805966,6.412981690736119,10.681526338991556,87.2,A
Mechanical,No,No,73,77,78,78,62,3.6386498018039046,4.401469980380216,20.844475988581266,73.6,B
IT,No,No,98,98,90,92,68,5.002664145250076,7.628799286242489,28.574595420401064,89.2,A+
EEE,No,Yes,94,99,91,95,96,7.261359516776472,7.965901340580192,6.537925655980876,95.0,A+
IT,No,Yes,87,86,82,88,93,1.2991772424336596,7.458609418410983,7.96651536186347,87.2,A
Mechanical,No,No,42,44,56,55,41,4.449242272905364,7.556856053696763,13.659982994071308,47.6,F
IT,No,No,84,85,84,81,89,3.7148398869976607,5.151518712278723,23.11740635654561,84.6,A
EEE,Yes,Yes,44,54,48,32,60,7.65684904250632,7.753018310860682,5.310242876503988,47.6,F
IT,Yes,No,87,88,81,84,89,5.075662141618104,5.19949707377626,5.860080211336456,85.8,A
Civil,Yes,Yes,70,70,70,75,84,7.1670285937029545,6.109983778233046,25.6209289848935,73.8,B
EEE,No,Yes,98,91,94,92,81,7.07927583128539,5.949724792998055,27.363805672352285,91.2,A+
EEE,No,No,77,75,74,71,60,3.6795601570174514,6.356533612624153,21.191733903020648,71.4,B
Mechanical,No,Yes,45,47,57,42,30,6.9918310227660045,7.578232011509531,21.218337061134953,44.2,F
Civil,No,Yes,60,61,61,63,67,6.56310538515395,7.850962344227379,6.797153071305091,62.4,C
Mechanical,Yes,Yes,44,39,33,39,34,5.741627427107752,6.911022869314339,22.07354236563326,37.8,F
IT,No,No,61,62,61,66,73,5.164412146432101,5.299296438994219,5.63428720105789,64.6,C
Mechanical,No,No,90,90,96,97,78,4.5855534456887215,6.720911116833413,6.041822515059607,90.2,A+
IT,Yes,No,46,33,39,46,65,7.8672703867684834,4.080058772691731,18.661671275017447,45.8,F
IT,Yes,No,75,74,73,70,75,1.8284173360251454,7.985802020400357,24.68125756673407,73.4,B
Mechanical,Yes,Yes,87,81,88,84,69,1.3556181278225958,5.873202365825541,26.328204297755914,81.8,A
Mechanical,No,No,53,31,51,30,43,2.0411905691004826,6.307158833988945,23.485286386417286,41.6,F
EEE,No,Yes,30,31,31,36,60,1.8068146031822576,5.199773027255166,29.88371991068049,37.6,F
Civil,No,No,86,88,87,84,89,1.4691157642584698,7.901372533916282,25.42434768179592,86.8,A
IT,No,Yes,63,68,61,68,69,1.5177423108966916,4.6999873150023355,27.242343133189,65.8,C
Civil,No,No,88,85,86,81,69,2.6387186547944843,4.239700621284326,17.939986626345195,81.8,A
IT,No,No,66,66,61,61,69,7.095084146565369,6.536121570420134,26.09130641321244,64.6,C
EEE,Yes,Yes,78,71,76,74,81,1.839216220386918,5.934088269459886,22.136013059282284,76.0,B
EEE,No,Yes,49,43,47,58,51,2.703467458235191,4.160466313154062,29.635934609241506,49.6,F
Mechanical,Yes,Yes,65,64,64,65,97,7.881563121671003,6.318631854705265,5.027175495123314,71.0,C
EEE,No,Yes,82,86,83,85,73,7.520432708432482,7.633640429074278,24.532266185142305,81.8,A
IT,No,Yes,31,53,30,55,47,7.649318160936743,4.436788397701386,16.5373949612834,43.2,F
Mechanical,No,No,77,75,75,73,70,6.349719345966661,6.330215348167976,6.775169505564714,74.0,B
Mechanical,Yes,Yes,71,74,73,78,71,5.5223286086761725,4.6024438122740765,28.316202513561965,73.4,B
Civil,No,No,87,85,85,87,60,2.46514253083946,4.290089267817926,22.582001351056263,80.8,A
EEE,Yes,No,45,49,47,44,35,1.0412785802575073,4.140126611762467,21.595661535562822,44.0,F
EEE,No,No,35,38,47,49,31,4.464381233436624,5.885472622805962,28.90647995068453,40.0,F
Mechanical,No,No,75,71,76,72,98,3.028163203702225,5.078042484873189,8.621320681706102,78.4,B
Mechanical,Yes,No,60,62,66,60,60,4.377160292667823,6.389397203911413,16.811552847872264,61.6,C
Civil,No,Yes,85,86,80,85,82,2.9761968394750413,6.341187313337246,11.410325692473545,83.6,A
IT,No,No,93,97,90,95,67,2.994356150716726,5.851407820063402,15.963462213435887,88.4,A+
IT,No,Yes,62,66,66,60,67,7.232201193495559,6.199953663463812,15.335414379347718,64.2,C
Civil,Yes,Yes,96,98,99,94,69,5.901763716111647,6.343240583887608,19.661977304717674,91.2,A+
Civil,Yes,No,98,96,94,99,98,4.090713509613639,7.5508167310331995,13.772875313801967,97.0,A+
Mechanical,No,Yes,86,87,80,80,95,1.629413714017916,4.772997660936673,6.263979698988473,85.6,A
Civil,No,No,77,71,75,78,76,2.0276114222779746,5.915975734557241,5.435763637551148,75.4,B
Mechanical,Yes,Yes,78,70,73,77,69,4.12717667717975,5.371866078800313,8.456139140851427,73.4,B
Civil,Yes,No,86,88,87,88,99,5.313280756488181,7.843317668320754,27.571700585803754,89.6,A
EEE,No,Yes,64,65,63,61,61,4.638197405060871,6.7271872451375465,16.2370491296357,62.8,C
IT,No,No,37,43,39,56,37,2.609476144818924,5.351605703100253,29.954368447311627,42.4,F
IT,Yes,No,88,83,80,82,64,6.654024739870358,7.5436559819896996,25.40197605858378,79.4,A
IT,Yes,Yes,98,99,91,91,65,3.8483557250600944,7.483013801349037,24.559637101456836,88.8,A+
IT,No,No,85,82,84,88,77,1.3559739654507479,7.4542272119932385,13.523695041065244,83.2,A
Mechanical,Yes,No,87,87,86,80,95,7.827612940024946,4.6804616692371255,27.45595159883088,87.0,A
Civil,Yes,Yes,91,99,98,94,63,3.431403283811899,7.59933338274909,5.545584919387237,89.0,A+
EEE,No,Yes,64,60,66,67,82,4.16704146582285,7.906172425378255,6.245007072359419,67.8,C
EEE,Yes,No,62,60,60,65,78,2.152582817792207,4.022376623527478,6.069581706181697,65.0,C
EEE,No,Yes,70,78,74,74,88,5.131618381844511,6.781096531777667,13.596339388564484,76.8,B
EEE,No,Yes,93,97,95,97,92,7.549444959546633,7.141362604455774,21.724706367855717,94.8,A+
IT,Yes,Yes,39,46,33,46,33,3.6666203387166494,5.63013752061458,17.12775349295432,39.4,F
Mechanical,Yes,Yes,94,95,92,94,82,6.299568414297191,5.511402197103146,11.027120808240795,91.4,A+
EEE,No,Yes,93,92,90,92,77,6.547649743740434,5.845782047549251,23.27045071779522,88.8,A+
EEE,No,Yes,96,98,90,96,83,5.222535871493606,5.3489085310216815,27.638119808241846,92.6,A+
Civil,Yes,No,86,80,86,80,96,5.083983506008638,5.8504412130279135,25.457512735984544,85.6,A
Mechanical,Yes,Yes,48,49,56,38,46,6.691608748796737,5.220436760848329,19.66607531114086,47.4,F
Civil,No,Yes,76,78,72,70,88,7.003591917692791,7.590035340433416,28.667697875847203,76.8,B
Civil,Yes,Yes,95,97,90,91,78,1.3960995930270093,5.495684188051254,28.611214567357585,90.2,A+
EEE,No,No,84,85,87,87,94,4.414840229808087,4.329089297108247,16.489601430340578,87.4,A
Mechanical,No,Yes,64,68,66,61,70,6.780309203318778,5.4065909364556175,27.646910552405014,65.8,C
Civil,No,No,74,73,78,75,86,3.9084537768714003,5.611104537393333,5.905181537184624,77.2,B
EEE,No,Yes,90,92,93,96,85,2.132349479464767,7.145103827028378,19.364684557944166,91.2,A+
Civil,Yes,Yes,85,86,81,88,69,6.5432392665701045,7.246288017406192,17.056850002038587,81.8,A
Civil,Yes,No,71,77,75,74,98,1.9512030508931595,4.266511993641499,29.40199215553669,79.0,B
IT,No,No,37,53,47,54,49,1.225374954611358,6.475689424938887,6.38476825052348,48.0,F
EEE,Yes,Yes,43,34,38,36,51,5.666532259894942,7.271496254361891,14.358426574004906,40.4,F
EEE,No,No,83,85,80,83,72,4.801150016067349,5.387543905457543,15.891119761412746,80.6,A
Mechanical,No,Yes,95,99,91,94,66,2.040639094271791,5.6584964949080945,7.1337417019660965,89.0,A+
Civil,Yes,No,57,35,57,55,32,6.636951497298885,4.557613768046019,15.466615336546816,47.2,F
IT,No,No,99,91,91,92,85,6.573690153789579,5.087784157673795,22.30897306152645,91.6,A+
IT,No,No,36,42,57,40,39,4.278138411650439,5.655394978288668,19.452372686492723,42.8,F
EEE,Yes,No,93,91,92,96,83,4.795660438442938,6.361390761835091,17.709013672907,91.0,A+
EEE,Yes,Yes,38,35,57,44,52,5.2184304489994435,4.7381402029465765,11.830087651255813,45.2,F
IT,Yes,Yes,67,65,64,62,78,4.293790402321827,4.372855703570794,6.148250805727249,67.2,C
EEE,No,No,32,39,49,31,56,4.449775531296401,6.29146401586741,9.160504638061314,41.4,F
Mechanical,Yes,No,96,99,99,91,68,1.2969560874482418,5.061304550221868,20.038846982495603,90.6,A+
Civil,Yes,No,78,72,70,70,72,1.7264229604431849,7.251713621575748,5.971842425417233,72.4,B
Civil,Yes,Yes,78,76,70,71,91,1.7206230129020033,6.8760912817344035,17.597219919781836,77.2,B
Mechanical,Yes,No,64,67,68,66,60,5.444399647184449,7.425197306864468,17.265242207793484,65.0,C
Civil,No,Yes,86,82,85,88,94,7.131334474999262,7.621195996042061,17.3239242913965,87.0,A
IT,No,Yes,87,85,84,87,78,5.358027784829472,4.040187924219326,9.871012291384103,84.2,A
Mechanical,No,No,62,62,61,67,96,6.098529119157058,7.587316179362828,6.3163939862769976,69.6,C
EEE,No,Yes,80,82,84,82,94,5.939447774582871,7.688767712205137,8.549856483802117,84.4,A
EEE,No,No,70,71,74,77,92,6.384753914691107,6.386891960424869,13.430050879223819,76.8,B
EEE,Yes,Yes,60,64,62,66,88,2.180225629677796,7.165190983135782,21.209326892951534,68.0,C
IT,Yes,No,90,96,97,92,93,7.557808175273306,6.930288388841001,10.373509464768919,93.6,A+
Civil,Yes,Yes,78,72,75,76,73,7.776785654842816,7.118211475181047,5.5612312107831166,74.8,B
EEE,No,Yes,55,30,52,52,35,3.9053184576773017,4.859384046545015,20.772760771543616,44.8,F
Mechanical,Yes,Yes,78,72,73,70,73,4.132989653555805,7.317715481735919,12.566980259468867,73.2,B
Mechanical,No,Yes,60,63,65,67,93,6.9600708743178,7.625016946951472,17.659291838628633,69.6,C
EEE,No,No,77,75,76,71,67,2.531560461037058,6.087739856258308,8.883582562750423,73.2,B
IT,Yes,Yes,91,96,91,91,93,6.2405166388834,5.270347181044467,5.003367325112133,92.4,A+
IT,Yes,No,75,70,70,75,88,5.886520369350542,5.5518086746195685,8.997831125603188,75.6,B
Civil,No,No,84,87,82,86,90,3.264712887398441,6.660223956026524,18.914460712553833,85.8,A
Mechanical,No,Yes,64,61,64,66,63,6.89547056147182,6.592672195918174,15.100502571570338,63.6,C
IT,No,Yes,75,71,76,73,72,4.938428171071719,4.538862923478903,8.772899567838245,73.4,B
Mechanical,No,Yes,80,86,82,87,95,3.3745420887424866,6.1783817948429975,6.026704319760135,86.0,A
EEE,No,Yes,82,87,84,81,78,6.962921480872215,7.2687642029065636,5.341542136765235,82.4,A
Civil,Yes,Yes,33,39,30,40,38,5.910638439782703,5.551722150619488,5.004387896448082,36.0,F
Civil,No,Yes,68,60,65,60,81,3.2678327459307726,6.7155129295623865,19.079952311204032,66.8,C
IT,No,Yes,94,95,93,99,93,7.905606741550858,6.423099277427548,10.930669793399861,94.8,A+
Civil,Yes,No,37,42,47,51,46,2.723433379561471,5.174448660258999,20.197723690173525,44.6,F
Civil,No,Yes,93,93,90,97,75,3.365966097960751,5.502331810559776,7.349548496021725,89.6,A+
EEE,No,No,61,67,62,68,85,3.879423742170503,4.973478853625505,8.229597945218737,68.6,C
Civil,No,Yes,74,77,77,76,65,7.512566605310706,5.458559964055132,26.441509926056412,73.8,B
EEE,No,No,64,60,66,66,97,7.023676582504259,4.522881275800385,13.143425561260816,70.6,C
IT,No,No,92,92,99,98,79,3.030318723737058,7.485656136763417,21.81757485522245,92.0,A+
Civil,Yes,No,95,97,96,98,79,5.564862718713065,5.248592226785789,14.976148653427778,93.0,A+
Mechanical,No,No,96,92,98,92,80,2.8577118643173622,4.711065551404992,22.290451389232985,91.6,A+
Mechanical,No,No,71,75,72,75,87,4.135826344969686,4.755477531262194,11.714979037527147,76.0,B
